VOYAGEID,STATUS,ADLT1IMP,ADLT2IMP,ADLT3IMP,ADPSALE1,ADPSALE2,ADULT1,ADULT2,ADULT3,ADULT4,ADULT5,ADULT6,ADULT7,ARRPORT,ARRPORT2,BOY1,BOY2,BOY3,BOY4,BOY5,BOY6,BOY7,BOYRAT7,CAPTAINA,CAPTAINB,CAPTAINC,CHIL1IMP,CHIL2IMP,CHIL3IMP,CHILD1,CHILD2,CHILD3,CHILD4,CHILD5,CHILD6,CHILD7,CHILRAT7,CONSTREG,CREW,CREW1,CREW2,CREW3,CREW4,CREW5,CREWDIED,DATEDEPA,DATEDEPB,DATEDEPC,D1SLATRA,D1SLATRB,D1SLATRC,DLSLATRA,DLSLATRB,DLSLATRC,DDEPAM,DDEPAMB,DDEPAMC,DATARR32,DATARR33,DATARR34,DATARR36,DATARR37,DATARR38,DATARR39,DATARR40,DATARR41,DATARR43,DATARR44,DATARR45,DATEDEP,DATEBUY,DATELEFTAFR,DATELAND1,DATELAND2,DATELAND3,DATEDEPAM,DATEEND,DEPTREGIMP,DEPTREGIMP1,EMBPORT,EMBPORT2,EMBREG,EMBREG2,EVGREEN,FATE,FATE2,FATE3,FATE4,FEMALE1,FEMALE2,FEMALE3,FEMALE4,FEMALE5,FEMALE6,FEMALE7,FEML1IMP,FEML2IMP,FEML3IMP,GIRL1,GIRL2,GIRL3,GIRL4,GIRL5,GIRL6,GIRL7,GIRLRAT7,GUNS,INFANT1,INFANT2,INFANT3,INFANT4,INFANT5,INFANT6,JAMCASPR,MAJBUYPT,MAJBYIMP,MAJBYIMP1,MAJSELPT,MALE1,MALE1IMP,MALE2,MALE2IMP,MALE3,MALE3IMP,MALE4,MALE5,MALE6,MALE7,MALRAT7,MEN1,MEN2,MEN3,MEN4,MEN5,MEN6,MEN7,MENRAT7,MJBYPTIMP,MJSELIMP,MJSELIMP1,MJSLPTIMP,NATINIMP,NATIONAL,NCAR13,NCAR15,NCAR17,NDESERT,NPAFTTRA,NPPRETRA,NPPRIOR,OWNERA,OWNERB,OWNERC,OWNERD,OWNERE,OWNERF,OWNERG,OWNERH,OWNERI,OWNERJ,OWNERK,OWNERL,OWNERM,OWNERN,OWNERO,OWNERP,PLAC1TRA,PLAC2TRA,PLAC3TRA,PLACCONS,PLACREG,PORTDEP,PORTRET,PTDEPIMP,REGARR,REGARR2,REGDIS1,REGDIS2,REGDIS3,REGEM1,REGEM2,REGEM3,REGISREG,RESISTANCE,RETRNREG,RETRNREG1,RIG,SAILD1,SAILD2,SAILD3,SAILD4,SAILD5,SHIPNAME,SLA1PORT,SLAARRIV,SLADAFRI,SLADAMER,SLADVOY,SLAMIMP,SLAS32,SLAS36,SLAS39,SLAVEMA1,SLAVEMA3,SLAVEMA7,SLAVEMX1,SLAVEMX3,SLAVEMX7,SLAVMAX1,SLAVMAX3,SLAVMAX7,SLAXIMP,SLINTEN2,SLINTEND,SOURCEA,SOURCEB,SOURCEC,SOURCED,SOURCEE,SOURCEF,SOURCEG,SOURCEH,SOURCEI,SOURCEJ,SOURCEK,SOURCEL,SOURCEM,SOURCEN,SOURCEO,SOURCEP,SOURCEQ,SOURCER,TONMOD,TONNAGE,TONTYPE,TSLAVESD,TSLAVESP,TSLMTIMP,VOY1IMP,VOY2IMP,VOYAGE,VYMRTIMP,VYMRTRAT,WOMEN1,WOMEN2,WOMEN3,WOMEN4,WOMEN5,WOMEN6,WOMEN7,WOMRAT7,XMIMPFLAG,YEAR10,YEAR100,YEAR25,YEAR5,YEARAF,YEARAM,YEARDEP,YRCONS,YRREG,VOYAGEID2,INTRAAMER,BOYRAT1,CHILRAT1,GIRLRAT1,MALRAT1,MENRAT1,WOMRAT1,BOYRAT3,CHILRAT3,GIRLRAT3,MALRAT3,MENRAT3,WOMRAT3
133,PUBLISHED,,,,31312.0,,,,,,,,,,,,,,,,,,,"Zorilla, Joaquin",,,,,,,,,,,,,,20400.0,,,,,,,,,5.0,1820.0,,,,,,,,,,19.0,10.0,1821.0,,,,,,,,,,"05,,1820",",,",,"10,19,1821",",,",",,",",,",",,",31300.0,30000.0,,,,,True,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,60200.0,60000.0,31312.0,,,,,,,,,,,,,,,,,,,,60213.0,31300.0,30000.0,31312.0,3.0,1.0,,,,,,,,"Zorrilla, Joaquín",,,,,,,,,,,,,,,,,60213.0,,20404.0,,31316.0,,31316.0,,,31300.0,31300.0,,,60200.0,,,,,,2.0,,,,,,Antonica,31399.0,,,,,139.0,,139.0,,,,,,,,,,,158.0,,,"PP,1845,XLIX:593-633","PP,1822,XXII(175),p.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,33,1800,13,65,1820,1821,1820,,,,0,,,,,,,,,,,,
441,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Silva, José Leite da",,,,,,,,,,,,,,,,26.0,,,,,,12.0,6.0,1824.0,,,,,,,,,,17.0,12.0,1824.0,,,,,,,,,,"06,12,1824",",,",,"12,17,1824",",,",",,",",,",",,",50400.0,50000.0,60711.0,,60700.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60711.0,60700.0,60000.0,50422.0,,,,,,,,,,,,,,,,,,,,60711.0,50400.0,50000.0,50422.0,6.0,,,,,,,,,"Rocha, Antônio Ferreira da",,,,,,,,,,,,,,,,60711.0,,,,,50422.0,,50422.0,,,50400.0,,,60700.0,,,,,,,25.0,,,,,,S Antônio Destemido,50422.0,656.0,,,11.0,656.0,,,,,,,,,,,,,667.0,,,"PP,1845,XLIX:593-633","IUP,ST,10/B/72","FO84/42,ff.21-5",Florentino,"DF,15/06/1824",,,,,,,,,,,,,,,,,667.0,,667.0,188.0,31.0,31.0,11.0,0.02,,,,,,,,,63.0,33,1800,13,65,1824,1824,1824,,,,0,,,,,,,,,,,,
452,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Menard, Jean-Baptiste",Bejaud,"Demouy, François",,,,,,,,,,,,10700.0,,28.0,,,,,7.0,9.0,11.0,1824.0,28.0,12.0,1824.0,19.0,4.0,1825.0,30.0,7.0,1825.0,12.0,6.0,1825.0,,,,,,,2.0,10.0,1825.0,"11,09,1824","12,28,1824","4,19,1825","06,12,1825",",,",",,","07,30,1825","10,02,1825",10700.0,10000.0,,,,,True,1,1,14,1,138.0,22.0,106.0,,,,106.0,138.0,22.0,106.0,,,,,,,,,2.0,,,,,,,,60624.0,60600.0,60000.0,31312.0,206.0,206.0,52.0,52.0,164.0,164.0,,,,164.0,0.60741,,,,,,,,,60624.0,31300.0,30000.0,31312.0,10.0,10.0,,,,,,,,"Fernandez, François","Coquebert, B","Coquebert, F",,,,,,,,,,,,,,60624.0,,,10720.0,,10720.0,11101.0,10720.0,,,31300.0,,,60600.0,,,,,11100.0,10000.0,1.0,,6.0,1.0,,,Jeune Louis,31312.0,270.0,,39.0,74.0,270.0,,,,,,,344.0,270.0,270.0,,,,344.0,,,"PP,1845,XLIX:593-633",Daget,"Huntington,FCSTP",,,,,,,,,,,,,,,,219.0,219.0,4.0,344.0,383.0,344.0,215.0,54.0,,74.0,0.22,,,,,,,,,19.0,33,1800,13,65,1825,1825,1824,1824.0,,,0,,,,0.59884,,,,,,0.60741,,
478,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1824.0,,,,,,,,,,",,",",,",,"03,01,1824",",,",",,",",,",",,",50200.0,50000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60731.0,60700.0,60000.0,50299.0,,,,,,,,,,,,,,,,,,,,60731.0,50200.0,50000.0,50299.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,60731.0,,,,,,,50299.0,,,50200.0,,,60700.0,,,,,,,,,,,,,S João Batista,50299.0,12.0,,,,12.0,,,,,,,,,,,,,13.0,,,"PP,1845,XLIX:593-633","IUP,ST,10/B/38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,33,1800,13,65,1824,1824,1824,,,,0,,,,,,,,,,,,
496,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Teixeira, Jacinto Alves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1825.0,,,,,,,,,,",,",",,",,"01,01,1825",",,",",,",",,",",,",50400.0,50000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60820.0,60800.0,60000.0,50422.0,,,,,,,,,,,,,,,,,,,,60820.0,50400.0,50000.0,50422.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,60817.0,,,,,,,50499.0,,,50400.0,,,60800.0,,,,,,,,,,,,,Sete de Março,50422.0,92.0,,,0.0,92.0,,,,,,,,,,,,,92.0,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,10/B/81","FO84/55,ff.12-18",Florentino,,,,,,,,,,,,,,,,,92.0,,92.0,,67.0,67.0,0.0,0.0,,,,,,,,,124.0,33,1800,13,65,1825,1825,1825,,,,0,,,,,,,,,,,,
636,PUBLISHED,,,,,,,,,,,,,50299.0,,,,,,,,,,"Rosa, José da (Jr)",,,,,,,,,,,,,,,,21.0,,,,,,23.0,9.0,1826.0,,,,,,,,,,13.0,4.0,1827.0,,,,,,,,,,"09,23,1826",",,",,"04,13,1827",",,",",,",",,",",,",50200.0,50000.0,60711.0,60712.0,60700.0,60700.0,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60915.0,60900.0,60000.0,50299.0,,,,,,,,,,,,,,,,,,,,60915.0,50200.0,50000.0,50299.0,6.0,5.0,,,,,,1.0,,"Paraíso, João de Souza",,,,,,,,,,,,,,,,60915.0,,,,,50299.0,,50299.0,50200.0,,50200.0,,,60900.0,,,,,,,2.0,,,,,,Zeferina,50299.0,246.0,,,,246.0,,,,,,,,,,,,,273.0,,,"PP,1845,XLIX:593-633","FO84/71,Pennell,27.04.24","IUP,ST,11/B/253","APEB, mç 3176",,,,,,,,,,,,,,,126.0,126.0,2.0,,,,202.0,30.0,30.0,,,,,,,,,,,25.0,33,1800,14,66,1827,1827,1826,,,,0,,,,,,,,,,,,
644,PUBLISHED,,,,,,,,,,,,,50299.0,,,,,,,,,,"Vale, Vicente Ferreira","Brito, D J de",,,,,,,,,,,,,,,15.0,,,,,,20.0,9.0,1826.0,,,,,,,,,,23.0,4.0,1827.0,,,,,,,,,,"09,20,1826",",,",,"04,23,1827",",,",",,",",,",",,",50200.0,50000.0,60725.0,,60700.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60725.0,60700.0,60000.0,50299.0,,,,,,,,,,,,,,,,,,,,60725.0,50200.0,50000.0,50299.0,6.0,5.0,,,,,,,,"Silva, Vicente de Paula",,,,,,,,,,,,,,,,60725.0,,,,,50299.0,,50299.0,50200.0,,50200.0,,,60700.0,,,,,,,49.0,,,,,,Esperança,50299.0,111.0,,,,111.0,,,,,,,,,,,,,123.0,,,"PP,1845,XLIX:593-633","IUP,ST,11/B/253","APEB, mç 3176","AHMS, 27.7, p. 5",,,,,,,,,,,,,,,175.0,175.0,2.0,,,,215.0,26.0,26.0,,,,,,,,,,,89.0,33,1800,14,66,1827,1827,1826,,,,0,,,,,,,,,,,,
837,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Teixeira, José de Souza",,,,,,,,,,,,,,,,,,,,,,,3.0,1828.0,,,,9.0,10.0,1828.0,,,,21.0,12.0,1828.0,,,,,,,,,,"03,,1828",",,","10,9,1828","12,21,1828",",,",",,",",,",",,",50400.0,50000.0,60820.0,,60800.0,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60820.0,60800.0,60000.0,50422.0,,,,,,,,,,,,,,,,,,,,60820.0,50400.0,50000.0,50422.0,6.0,,,,,,,,,"Ferreira, João Antônio",,,,,,,,,,,,,,,,60820.0,,,,,50422.0,,50422.0,,,50400.0,,,60800.0,,,,,,,25.0,,,,,,Amália,50422.0,510.0,,,130.0,510.0,,,,,,,,,,,,,640.0,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","FO84/95,ff.141-3",Florentino,"JC, 24/03/1828","Santana, I, p. 582",,,,,,,,,,,,,,,,640.0,,640.0,,73.0,71.0,130.0,0.2,,,,,,,,,64.0,33,1800,14,66,1828,1828,1828,,,,0,,,,,,,,,,,,
1027,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Bondoso, Antônio José","Rodrigo, Antônio José",,,,,,,,,,,,,,,,,,,,,,,,,7.0,1829.0,,,,,,,22.0,12.0,1829.0,,,,,,,,,,",,","07,,1829",,"12,22,1829",",,",",,",",,",",,",50400.0,50000.0,,,,,True,1,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60822.0,60800.0,60000.0,50422.0,,,,,,,,,,,,,,,,,,,,60822.0,50400.0,50000.0,50422.0,6.0,,,,,,,1.0,,"Gomes, Feliciano Alexandrino",,,,,,,,,,,,,,,,60822.0,,,,,50422.0,,50422.0,,,50400.0,,,60800.0,,,,,,,40.0,,,,,,Formosura,50422.0,587.0,,,71.0,587.0,,,,,,,,,,,,,658.0,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/72",Florentino,CapelaNotes,"AHU,Moçambique, Cx 227 No 32","Santana, I, p. 899; II, p. 835","AHU,Moçambique, Cx 221 No 82",,,,,,,,,,,,,,658.0,,658.0,,52.0,52.0,71.0,0.11,,,,,,,,,82.0,33,1800,14,66,1829,1829,1829,,,,0,,,,,,,,,,,,
1044,PUBLISHED,,,,,,,,,,,,,,,,,,,,,,,"Pereira, Manoel Isidoro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,1830.0,,,,,,,,,,",,",",,",,"01,30,1830",",,",",,",",,",",,",50400.0,50000.0,,,,,True,49,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,60717.0,60700.0,60000.0,50422.0,,,,,,,,,,,,,,,,,,,,60717.0,50400.0,50000.0,50422.0,6.0,,,,,,,,,"Andrade, João Pereira de",,,,,,,,,,,,,,,,60721.0,,,,,,,50499.0,,,50400.0,,,60700.0,,,,,,,,,,,,,Virginia,50422.0,65.0,,,0.0,65.0,,,,,,,,,,,,,65.0,,,"PP,1845,XLIX:593-633","Klein,Rio de Janeiro dataset 2","IUP,ST,12/B/78",Florentino,,,,,,,,,,,,,,,,,,65.0,,65.0,,97.0,97.0,0.0,0.0,,,,,,,,,118.0,33,1800,14,66,1830,1830,1830,,,,0,,,,,,,,,,,,
